PortName,PortLat,PortLong
Port of Peoria,40.669000000000004,-89.609
Port of Comodoro Rivadavia,-45.856,-67.46600000000001
Port of Saint-Ouen-l'Aumone,49.044,2.0989
Quinfuquena Terminal,-6.3331,12.167
Port of Monroe,41.902,-83.363
Jacintoport,29.749000000000002,-95.111
Port of Narvik,68.439,17.42
Limerick Dock,52.663000000000004,-8.6333
Sodus Point Harbor,43.269,-76.976
Mevagissey Harbor,50.269,-4.7844
Taconite Harbor,47.523999999999994,-90.916
Port of Levanger,63.748000000000005,11.297
Port of Poti,42.155,41.653999999999996
Port of Barranqueras,-27.49,-58.926
Porto Rafti,37.885999999999996,24.013
Ocean Falls Harbour,52.351000000000006,-127.69
Kuopio Harbour,62.888000000000005,27.694000000000003
Port of Wujiang,31.148000000000003,120.66
Port of Linden,6.0008,-58.306999999999995
Port of Kuala Kapuas,-3.0231,114.39
Port of Sauda,59.647,6.3525
Port of Coari,-4.0833,-63.14
Kemaman Port,4.2494,103.46
Lefkas Marina,38.83,20.713
Port of Caleta Olivia,-46.433,-67.513
Port of Tanjung Pandan,-2.75,107.63
Jonesport Harbor,44.533,-67.594
Port of Halmstad,56.655,12.85
Port of San Juan,18.456,-66.102
Port of Kaukas,61.075,28.236
Telegraph Harbour,48.971000000000004,-123.66
Port of Gonaives,19.448,-72.706
Jubail Commercial Port,27.029,49.673
Loring Harbor,55.602,-131.64
Port of Nicaro,20.713,-75.551
Anholt Havn,56.716,11.511
Port of Xiamen,24.45,118.02
Port of Truro,50.256,-5.0436
Port of Dumai,1.6875,101.46
Watchet Harbour,51.183,-3.3289
Port of Kapsali,36.144,23.000999999999998
Port of La Paz,24.169,-110.32
Port of Basse Indre,47.198,-1.68
Port of Souda,35.493,24.078000000000003
Matsuura Harbor,33.358000000000004,129.71
Port of Sibenik,43.726000000000006,15.895999999999999
Port of Pinghu,30.7,121.02
Christianso Harbor,55.32,15.186
Port of Yangpu,19.726,109.21
Port of New Ross,52.396,-6.9481
Grand Bank Harbour,47.1,-55.75
Port of Flekkefjord,58.294,6.6589
Port of Iraklion,35.346,25.146
Grand Bank Harbour,47.1,-55.751999999999995
Port of Presque Isle,46.58,-87.389
Port of Xingang,38.983000000000004,117.74
Port of Kilwa Kivinje,-8.7458,39.415
Port of Komatsujima,34.01,134.6
Puerto San Antonio,-33.588,-71.619
Natashquan Harbor,50.188,-61.833999999999996
Port of Takamatsu,34.355,134.06
Port of Castro-Urdiales,43.381,-3.2147
Port of Tubarao,-20.289,-40.247
Port of Kinsale,51.7,-8.5156
Portavogie Harbour,54.457,-5.4394
Port of Port Esquivel,17.891,-77.131
Port of Antibes,43.586999999999996,7.1258
Scapa Flow,58.888000000000005,-3.0533
Port of Cartagena,10.402999999999999,-75.531
Wuxue Harbour,29.840999999999998,115.57
Port of Svelgen,61.771,5.2911
Marina di Salivoli,42.931000000000004,10.507
Bajo Grande Refinery,10.501,-71.61399999999999
Port of Bundaberg,-24.767,152.39
Puerto Ventanas,-32.759,-71.49
Porto di Marina di Massa ,44.00899999999999,10.095
Puerto Aguirre,-18.986,-57.707
Luka Umag Harbor,45.434,13.517999999999999
Port of Flekkefjord,58.294,6.6575
Port of Nanaimo,49.169,-123.93
Port of Dapa,9.7544,126.05
Summerside Harbor,46.388999999999996,-63.788999999999994
Inverkeithing Harbor,56.023999999999994,-3.3958
Port of Haeju,38.0,125.7
Nanisivik Harbor,73.069,-84.54899999999999
Port of Narssarssuaq,61.145,-45.434
Port of Adamas,36.723,24.445
Port of Piney Point,38.134,-76.531
Port of Arzal,47.498000000000005,-2.3806
Port of Saint-Quay-Portrieux,48.646,-2.8214
Vang Havn,55.248999999999995,14.735999999999999
Port of Namlea,-3.2686,127.09
Crouch Harbour,51.623999999999995,0.81944
Newlyn Harbour,50.104,-5.5472
Kingsnorth Power Station,51.412,0.60417
Port of Perm,58.016000000000005,56.196000000000005
Port of Pointe Noire,-4.7819,11.829
Port Panama City,30.18,-85.729
Port of Maanshan,31.747,118.47
Main Brook Harbor,51.181999999999995,-56.013000000000005
Port of Kikuma,34.036,132.84
Port of Nieuw Nickerie,5.9517,-57.003
Port of Agotnes,60.413000000000004,5.0136
Port of Esbjerg,55.466,8.4342
Portsmouth Continental Ferry Port,50.808,-1.1
Port of Tolkkinen,60.333999999999996,25.578000000000003
Port of Malm,64.07300000000001,11.224
Port of Inkoo,60.043,24.008000000000003
Port of Shingu,33.667,135.98
Port of Skikda,36.888000000000005,6.9058
Port Said,31.253,32.309
Port of Ust-Luga,59.666000000000004,28.294
Tanjung Bara Coal Terminal,0.53222,117.65
Laxey Harbor,54.225,-4.3894
Porto di Polignano a Mare,41.005,17.202
Port of Maizuru,35.482,135.39
Port of South Riding Point,26.624000000000002,-78.227
Port of Thessaloniki,40.635,22.918000000000003
Port of Harlingen,53.178999999999995,5.4181
Port of Colchester,51.878,0.93111
Port of Lanshan,35.1,119.36
Hamble Harbour,50.86600000000001,-1.3083
Port of Ashtabula,41.906000000000006,-80.796
Port of Kabil,1.1711,104.0
Port of Lapaluoto,64.661,24.408
Marina del Cantone,40.582,14.357000000000001
Port of Cirebon,-6.7119,108.57
Port of Salto,-31.386,-57.977
Port of Ancon,-11.773,-77.181
Port of Qeqertarsuaq,69.247,-53.547
Port of Svendborg,55.059,10.617
Port of Beaumont,30.078000000000003,-94.085
Port of Skardon River,-11.758,142.07
Port of Miyazu,35.543,135.2
Port of Rio de Janeiro,-22.883000000000003,-43.196999999999996
Port of Toyama,36.757,137.23
Cape May Harbor,38.951,-74.89
