index,PortName,LAT1,LAT2,LAT3,LONG1,LONG2,LONG3,HarborSize,HarborType,LAT,LONG
727,JACMEL,18,14,N,72,32,W,V,OR,18.233333333333334,-72.53333333333333
728,MIRAGOANE,18,27,N,73,5,W,V,OR,18.45,-73.08333333333333
729,PETIT GOAVE,18,26,N,72,52,W,V,OR,18.433333333333334,-72.86666666666666
730,PORT AU PRINCE,18,33,N,72,21,W,M,OR,18.55,-72.35
731,CAP HAITIEN,19,46,N,72,12,W,V,OR,19.766666666666666,-72.2
732,PEPILLO SALCEDO,19,42,N,71,45,W,V,OR,19.7,-71.75
733,PUERTO PLATA,19,48,N,70,42,W,S,OR,19.8,-70.7
734,SANTA BARBARA DE SAMANA,19,12,N,69,20,W,S,CN,19.2,-69.33333333333333
735,PUERTO BOTADO,19,12,N,69,27,W,V,CN,19.2,-69.45
736,SANCHEZ,19,14,N,69,37,W,V,OR,19.233333333333334,-69.61666666666666
737,LA ROMANA,18,25,N,68,58,W,V,RN,18.416666666666668,-68.96666666666667
738,SAN PEDRO DE MACORIS,18,27,N,69,19,W,S,RN,18.45,-69.31666666666666
739,ANDRES (ANDRES LGN TERMINAL),18,26,N,69,38,W,M,OR,18.433333333333334,-69.63333333333334
740,SANTO DOMINGO,18,28,N,69,53,W,M,RN,18.466666666666665,-69.88333333333334
741,PUERTO DE HAINA,18,25,N,70,1,W,S,RN,18.416666666666668,-70.01666666666667
742,PUNTA NIZAO OIL TERMINAL,18,12,N,70,12,W,S,OR,18.2,-70.2
743,LAS CALDERAS,18,13,N,70,31,W,S,CN,18.216666666666665,-70.51666666666667
744,PUERTO VIEJO DE AZUA,18,21,N,70,50,W,V,OR,18.35,-70.83333333333333
745,SANTA CRUZ DE BARAHONA,18,12,N,71,5,W,S,CN,18.2,-71.08333333333333
746,CABO ROJO,17,55,N,71,39,W,V,OR,17.916666666666668,-71.65
747,AGUADILLA,18,26,N,67,9,W,V,OR,18.433333333333334,-67.15
748,ARECIBO,18,29,N,66,42,W,V,CB,18.483333333333334,-66.7
749,SAN JUAN,18,28,N,66,7,W,S,OR,18.466666666666665,-66.11666666666666
750,BAHIA DE FAJARDO,18,20,N,65,38,W,V,CB,18.333333333333332,-65.63333333333334
751,ENSENADA HONDA,18,14,N,65,38,W,M,CB,18.233333333333334,-65.63333333333334
752,PLAYA DE HUMACAO,18,10,N,65,45,W,V,OR,18.166666666666668,-65.75
753,PUERTO YABUCOA,18,3,N,65,50,W,V,OR,18.05,-65.83333333333333
754,ARROYO,17,58,N,66,4,W,S,OR,17.966666666666665,-66.06666666666666
755,BAHIA DE JOBOS,17,57,N,66,11,W,V,CB,17.95,-66.18333333333334
756,LAS MAREAS,17,57,N,66,10,W,V,OR,17.95,-66.16666666666667
757,PLAYA DE PONCE,17,59,N,66,37,W,M,CB,17.983333333333334,-66.61666666666666
758,PLAYA DE GUAYANILLA,18,1,N,66,46,W,M,CB,18.016666666666666,-66.76666666666667
759,PLAYA DE GUANICA,17,58,N,66,55,W,S,OR,17.966666666666665,-66.91666666666667
760,MAYAGUEZ,18,12,N,67,9,W,S,OR,18.2,-67.15
761,CHARLOTTE AMALIE,18,21,N,64,56,W,S,OR,18.35,-64.93333333333334
762,CRUZ BAY,18,20,N,64,48,W,S,CN,18.333333333333332,-64.8
763,FREDERIKSTED,17,43,N,64,53,W,S,OR,17.716666666666665,-64.88333333333334
764,LIMETREE BAY,17,42,N,64,45,W,V,OR,17.7,-64.75
765,PORT ALUCROIX,17,42,N,64,46,W,V,OR,17.7,-64.76666666666667
766,CHRISTIANSTED,17,45,N,64,42,W,V,CN,17.75,-64.7
767,ROAD HARBOR,18,25,N,64,37,W,M,CN,18.416666666666668,-64.61666666666666
768,BAIE DU MARIGOT,18,4,N,63,5,W,V,OR,18.066666666666666,-63.083333333333336
769,PHILLIPSBURG,18,1,N,63,3,W,S,CN,18.016666666666666,-63.05
770,COLES BAY OIL TERMINAL,18,1,N,63,5,W,S,OR,18.016666666666666,-63.083333333333336
771,GUSTAVIA,17,54,N,62,51,W,V,CN,17.9,-62.85
772,ORANJESTAD,17,29,N,62,59,W,S,OR,17.483333333333334,-62.983333333333334
773,BASSETERRE,17,18,N,62,43,W,V,OR,17.3,-62.71666666666667
774,CHARLESTOWN,17,8,N,62,38,W,V,OR,17.133333333333333,-62.63333333333333
775,ST JOHNS,17,7,N,61,51,W,M,OR,17.116666666666667,-61.85
776,POINTE A PITRE,16,14,N,61,32,W,M,CN,16.233333333333334,-61.53333333333333
777,BASSE TERRE,16,0,N,61,44,W,V,OR,16.0,-61.733333333333334
778,PORT LOUIS,16,25,N,61,32,W,V,OR,16.416666666666668,-61.53333333333333
779,ROSEAU,15,18,N,61,24,W,V,CN,15.3,-61.4
780,PORTSMOUTH,15,34,N,61,28,W,V,CN,15.566666666666666,-61.46666666666667
781,FORT DE FRANCE,14,36,N,61,4,W,M,OR,14.6,-61.06666666666667
782,VIEUX FORT,13,43,N,60,58,W,V,CN,13.716666666666667,-60.96666666666667
783,GRAND CUL DE SAC BAY,13,59,N,61,1,W,S,CN,13.983333333333333,-61.016666666666666
784,CASTRIES,14,1,N,61,0,W,S,CN,14.016666666666667,-61.0
785,KINGSTOWN,13,9,N,61,14,W,S,CN,13.15,-61.233333333333334
786,ST GEORGE'S,12,3,N,61,45,W,S,CN,12.05,-61.75
787,BRIDGETOWN,13,6,N,59,38,W,S,CB,13.1,-59.63333333333333
788,SCARBOROUGH,11,11,N,60,44,W,V,OR,11.183333333333334,-60.733333333333334
789,CHAGUARAMAS,10,41,N,61,39,W,V,CN,10.683333333333334,-61.65
790,ANSE TEMBLADORA,10,41,N,61,35,W,V,OR,10.683333333333334,-61.583333333333336
791,PORT OF SPAIN,10,39,N,61,31,W,M,CN,10.65,-61.516666666666666
792,POINT LISAS PORT,10,23,N,61,29,W,S,RB,10.383333333333333,-61.483333333333334
793,POINTE A PIERRE,10,19,N,61,28,W,S,OR,10.316666666666666,-61.46666666666667
794,POINT LISAS INDUSTRIAL PORT,10,24,N,61,30,W,S,CN,10.4,-61.5
795,BRIGHTON,10,15,N,61,38,W,V,OR,10.25,-61.63333333333333
796,POINT FORTIN,10,12,N,61,42,W,V,OR,10.2,-61.7
797,GALEOTA POINT TERMINAL,10,8,N,60,59,W,S,OR,10.133333333333333,-60.983333333333334
798,KRALENDIJK,12,9,N,68,17,W,V,OR,12.15,-68.28333333333333
799,GOTO OIL TERMINAL,12,13,N,68,23,W,V,OR,12.216666666666667,-68.38333333333334
800,SALINA,12,5,N,68,17,W,V,OR,12.083333333333334,-68.28333333333333
801,CARACASBAAI,12,4,N,68,52,W,S,OR,12.066666666666666,-68.86666666666666
802,WILLEMSTAD,12,7,N,68,56,W,M,CB,12.116666666666667,-68.93333333333334
803,BULLEN BAAI,12,11,N,69,2,W,M,OR,12.183333333333334,-69.03333333333333
804,SINT MICHELSBAAI,12,8,N,69,1,W,V,OR,12.133333333333333,-69.01666666666667
805,SINT NICOLAAS BAAI,12,26,N,69,55,W,S,CB,12.433333333333334,-69.91666666666667
806,PAARDEN BAAI - (ORANJESTAD),12,31,N,70,2,W,V,CB,12.516666666666667,-70.03333333333333
807,TURBO,8,5,N,76,44,W,V,OR,8.083333333333334,-76.73333333333333
808,COVENAS,9,25,N,75,41,W,S,OR,9.416666666666666,-75.68333333333334
809,COVENAS OFFSHORE TERM.,9,30,N,75,44,W,V,OR,9.5,-75.73333333333333
810,MAMONAL,10,19,N,75,31,W,S,OR,10.316666666666666,-75.51666666666667
811,EL BOSQUE,10,24,N,75,32,W,S,CN,10.4,-75.53333333333333
812,CARTAGENA,10,25,N,75,32,W,M,CN,10.416666666666666,-75.53333333333333
813,BARRANQUILLA,10,58,N,74,46,W,M,RN,10.966666666666667,-74.76666666666667
814,PUERTO PRODECO,11,9,N,74,13,W,S,OR,11.15,-74.21666666666667
815,POZOS COLORADOS,11,9,N,74,15,W,S,OR,11.15,-74.25
816,SANTA MARTA,11,15,N,74,13,W,S,CN,11.25,-74.21666666666667
817,PUERTO BOLIVAR,12,15,N,71,58,W,S,CB,12.25,-71.96666666666667
818,MARACAIBO,10,38,N,71,36,W,M,OR,10.633333333333333,-71.6
819,SAN LORENZO,9,47,N,71,4,W,V,LC,9.783333333333333,-71.06666666666666
820,LA SALINA,10,22,N,71,28,W,S,LC,10.366666666666667,-71.46666666666667
821,PUNTA DE PALMAS,10,47,N,71,35,W,V,LC,10.783333333333333,-71.58333333333333
822,BAJO GRANDE,10,31,N,71,38,W,V,LC,10.516666666666667,-71.63333333333334
823,PUERTO MIRANDA,10,46,N,71,34,W,S,LC,10.766666666666667,-71.56666666666666
824,EL TABIAZO,10,46,N,71,32,W,V,OR,10.766666666666667,-71.53333333333333
825,PUNTA CARDON,11,38,N,70,14,W,S,OR,11.633333333333333,-70.23333333333333
826,LAS PIEDRAS,11,42,N,70,13,W,S,OR,11.7,-70.21666666666667
827,AMUAY (BAHIA DE AMUAY),11,45,N,70,14,W,S,OR,11.75,-70.23333333333333
828,PUERTO CUMAREBO,11,29,N,69,21,W,V,OR,11.483333333333333,-69.35
829,PUERTO CHICHIRIVICHE,10,55,N,68,16,W,V,CN,10.916666666666666,-68.26666666666667
830,EL PALITO,10,29,N,68,7,W,V,OR,10.483333333333333,-68.11666666666666
831,VENTERMINALS,10,29,N,68,2,W,V,OR,10.483333333333333,-68.03333333333333
832,PUERTO CABELLO,10,29,N,68,0,W,M,CN,10.483333333333333,-68.0
833,PUERTO BORBURATA,10,29,N,67,59,W,V,CN,10.483333333333333,-67.98333333333333
834,CATIA LA MAR,10,36,N,67,1,W,V,CN,10.6,-67.01666666666667
835,LA GUAIRA,10,37,N,66,56,W,S,CB,10.616666666666667,-66.93333333333334
836,JOSE TERMINAL,10,6,N,64,51,W,V,OR,10.1,-64.85
837,PUERTO LA CRUZ,10,15,N,64,38,W,L,OR,10.25,-64.63333333333334
838,GUANTA,10,15,N,64,35,W,S,OR,10.25,-64.58333333333333
839,BAHIA DE PERTIGALETE,10,14,N,64,34,W,S,CN,10.233333333333333,-64.56666666666666
840,CUMANA (PUERTO SUCRE),10,28,N,64,11,W,V,OR,10.466666666666667,-64.18333333333334
841,EL GUAMACHE,10,54,N,64,6,W,V,OR,10.9,-64.1
842,CARUPANO,10,42,N,63,15,W,V,CB,10.7,-63.25
843,GUIRIA,10,34,N,62,18,W,V,CB,10.566666666666666,-62.3
844,PUERTO DE HIERRO,10,38,N,62,6,W,S,OR,10.633333333333333,-62.1
845,CARIPITO,10,9,N,63,2,W,V,RN,10.15,-63.03333333333333
846,PALUA,8,22,N,62,41,W,V,RN,8.366666666666667,-62.68333333333333
847,PUERTO ORDAZ,8,21,N,62,43,W,S,RN,8.35,-62.71666666666667
848,CIUDAD BOLIVAR,8,8,N,63,33,W,S,RN,8.133333333333333,-63.55
849,GEORGETOWN,6,50,N,58,10,W,M,RN,6.833333333333333,-58.166666666666664
850,LINDEN,6,0,N,58,18,W,V,RN,6.0,-58.3
851,NEW AMSTERDAM,6,15,N,57,31,W,V,RN,6.25,-57.516666666666666
852,NIEUW NICKERIE,5,57,N,57,0,W,V,RN,5.95,-57.0
853,PARAMARIBO,5,50,N,55,10,W,S,RN,5.833333333333333,-55.166666666666664
854,PARANAM,5,37,N,55,6,W,V,RN,5.616666666666667,-55.1
855,MOENGO,5,38,N,54,25,W,V,RN,5.633333333333333,-54.416666666666664
856,DEGRAD DES CANNES,4,51,N,52,16,W,V,RN,4.85,-52.266666666666666
857,PORTO SANTANA,0,3,S,51,11,W,V,RN,-0.05,-51.18333333333333
858,BELEM,1,27,S,48,30,W,M,RN,-1.45,-48.5
859,VILA DO CONDE,1,33,S,48,45,W,V,RN,-1.55,-48.75
860,CAMETA,2,15,S,49,30,W,V,TH,-2.25,-49.5
861,SANTAREM,2,25,S,54,43,W,V,TH,-2.4166666666666665,-54.71666666666667
862,ITACOATIARA,3,9,S,58,27,W,V,RN,-3.15,-58.45
863,MANAUS,3,8,S,60,1,W,S,RN,-3.1333333333333333,-60.016666666666666
864,IQUITOS,3,45,S,73,14,W,S,RN,-3.75,-73.23333333333333
865,ITAQUI,2,34,S,44,22,W,S,CN,-2.5666666666666664,-44.36666666666667
866,TUTOIA,2,47,S,42,17,W,V,RN,-2.783333333333333,-42.28333333333333
867,CAMOCIM,2,54,S,40,50,W,V,RN,-2.9,-40.833333333333336
868,PORTO DE MUCURIPE,3,43,S,38,29,W,S,OR,-3.716666666666667,-38.483333333333334
869,GUAMARE OIL TERMINAL,4,52,S,36,17,W,V,OR,-4.866666666666667,-36.28333333333333
870,NATAL,5,47,S,35,12,W,S,RN,-5.783333333333333,-35.2
871,CABEDELO,6,58,S,34,50,W,S,RN,-6.966666666666667,-34.833333333333336
872,RECIFE,8,3,S,34,52,W,M,CB,-8.05,-34.86666666666667
873,PORTO DE SUAPE,8,24,S,34,58,W,S,CB,-8.4,-34.96666666666667
874,PORTO DE MACEIO,9,40,S,35,44,W,S,CB,-9.666666666666666,-35.733333333333334
875,PORT DE ARACAJU,10,55,S,37,3,W,S,RN,-10.916666666666666,-37.05
876,PORT DE SALVADOR,12,58,S,38,31,W,M,CB,-12.966666666666667,-38.516666666666666
877,ARATU,12,47,S,38,30,W,S,OR,-12.783333333333333,-38.5
878,MADRE DE DEUS,12,45,S,38,37,W,V,OR,-12.75,-38.61666666666667
879,PORT OF ILHEUS,14,47,S,39,1,W,S,CB,-14.783333333333333,-39.016666666666666
880,PORTOCEL,19,51,S,40,3,W,S,CB,-19.85,-40.05
881,VITORIA,20,19,S,40,20,W,M,RN,-20.316666666666666,-40.333333333333336
882,TUBARAO,20,17,S,40,15,W,L,CB,-20.283333333333335,-40.25
883,SANTA CLARA,20,53,S,51,22,W,V,CN,-20.883333333333333,-51.36666666666667
884,MACAE,22,22,S,41,46,W,V,RN,-22.366666666666667,-41.766666666666666
885,DTSE / GEGUA OIL TERMINAL,22,49,S,43,9,W,M,OR,-22.816666666666666,-43.15
886,PORTO DO FORNO,22,58,S,42,1,W,V,CN,-22.966666666666665,-42.016666666666666
887,RIO DE JANEIRO,22,54,S,43,10,W,L,CN,-22.9,-43.166666666666664
888,NITEROI,22,53,S,43,7,W,S,CN,-22.883333333333333,-43.11666666666667
889,GUAIBA ISLAND TERMINAL,23,1,S,44,2,W,S,CN,-23.016666666666666,-44.03333333333333
890,ANGRA DOS REIS,23,1,S,44,19,W,S,CN,-23.016666666666666,-44.31666666666667
891,GEBIG,23,3,S,44,13,W,S,OR,-23.05,-44.21666666666667
892,SAO SEBASTIAO,23,48,S,45,24,W,S,OR,-23.8,-45.4
893,SANTOS,23,57,S,46,18,W,L,CN,-23.95,-46.3
894,PARANAGUA,25,30,S,48,31,W,S,CN,-25.5,-48.516666666666666
895,SAO FRANCISCO,26,15,S,48,38,W,S,RN,-26.25,-48.63333333333333
896,ITAJAI,26,55,S,48,38,W,M,RN,-26.916666666666668,-48.63333333333333
897,IMBITUBA,28,14,S,48,40,W,V,CN,-28.233333333333334,-48.666666666666664
898,LAGUNA,28,30,S,48,47,W,V,RN,-28.5,-48.78333333333333
899,TRAMANDAI,29,59,S,50,8,W,S,OR,-29.983333333333334,-50.13333333333333
900,RIO GRANDE,32,3,S,52,5,W,L,RN,-32.05,-52.083333333333336
901,PELOTAS,31,47,S,52,20,W,V,RN,-31.783333333333335,-52.333333333333336
902,PORTO ALEGRE,30,2,S,51,14,W,M,RN,-30.033333333333335,-51.233333333333334
903,LA PALOMA,34,39,S,54,9,W,V,CN,-34.65,-54.15
904,JOSE IGNACIO,34,57,S,54,42,W,V,OR,-34.95,-54.7
905,MONTEVIDEO,34,54,S,56,13,W,M,CB,-34.9,-56.21666666666667
906,PUERTO SAUCE,34,26,S,57,27,W,V,OR,-34.43333333333333,-57.45
907,COLONIA,34,28,S,57,51,W,V,OR,-34.46666666666667,-57.85
908,NUEVA PALMIRA,33,53,S,58,25,W,V,RN,-33.88333333333333,-58.416666666666664
909,FRAY BENTOS,33,7,S,58,19,W,V,RN,-33.11666666666667,-58.31666666666667
910,PAYSANDU,32,19,S,58,4,W,S,RN,-32.31666666666667,-58.06666666666667
911,PUERTO DE ASUNCION,25,16,S,57,41,W,V,RN,-25.266666666666666,-57.68333333333333
912,SANTA FE,31,39,S,60,42,W,S,RN,-31.65,-60.7
913,PARANA,31,43,S,60,32,W,V,RN,-31.716666666666665,-60.53333333333333
914,DIAMANTE,32,4,S,60,39,W,V,RN,-32.06666666666667,-60.65
915,PUERTO SAN MARTIN,32,43,S,60,44,W,V,RN,-32.71666666666667,-60.733333333333334
916,SAN LORENZO,32,45,S,60,44,W,V,RN,-32.75,-60.733333333333334
917,ROSARIO,32,57,S,60,38,W,M,RN,-32.95,-60.63333333333333
918,VILLA CONSTITUCION,33,14,S,60,20,W,V,RN,-33.233333333333334,-60.333333333333336
919,SAN NICOLAS,33,20,S,60,14,W,V,RN,-33.333333333333336,-60.233333333333334
920,RAMALLO,33,29,S,60,1,W,V,RN,-33.483333333333334,-60.016666666666666
921,SAN PEDRO,33,35,S,59,49,W,V,RN,-33.583333333333336,-59.81666666666667
922,PUERTO IBICUY,33,45,S,59,11,W,V,RN,-33.75,-59.18333333333333
923,ZARATE,34,5,S,59,2,W,S,RN,-34.083333333333336,-59.03333333333333
924,CAMPANA,34,9,S,58,58,W,S,RN,-34.15,-58.96666666666667
925,CONCORDIA,31,24,S,58,2,W,V,RN,-31.4,-58.03333333333333
926,COLON,32,13,S,58,8,W,V,RN,-32.21666666666667,-58.13333333333333
927,CONCEPCION DEL URUGUAY,32,29,S,58,14,W,S,RN,-32.483333333333334,-58.233333333333334
928,BUENOS AIRES,34,36,S,58,22,W,L,CB,-34.6,-58.36666666666667
929,LA PLATA,34,50,S,57,53,W,M,RB,-34.833333333333336,-57.88333333333333
930,MAR DEL PLATA,38,2,S,57,32,W,S,CB,-38.03333333333333,-57.53333333333333
931,QUEQUEN,38,35,S,58,42,W,V,CB,-38.583333333333336,-58.7
932,PUERTO ROSALES,38,56,S,62,4,W,V,CB,-38.93333333333333,-62.06666666666667
933,PUERTO BELGRANO,38,53,S,62,6,W,S,CB,-38.88333333333333,-62.1
934,BAHIA BLANCA,38,47,S,62,16,W,V,CN,-38.78333333333333,-62.266666666666666
935,PUERTO INGENIERO WHITE,38,48,S,62,16,W,S,CN,-38.8,-62.266666666666666
936,PUERTO NACIONAL,38,48,S,62,17,W,V,CN,-38.8,-62.28333333333333
937,PUERTO GALVAN,38,47,S,62,18,W,V,CN,-38.78333333333333,-62.3
938,SAN BLAS,40,34,S,62,14,W,V,CN,-40.56666666666667,-62.233333333333334
939,PUERTO MADRYN,42,46,S,65,2,W,S,CN,-42.766666666666666,-65.03333333333333
940,COMODORO RIVADAVIA,45,52,S,67,28,W,V,CB,-45.86666666666667,-67.46666666666667
941,PUERTO DESEADO,47,45,S,65,54,W,V,RN,-47.75,-65.9
942,PUERTO SAN JULIAN,49,19,S,67,42,W,V,CN,-49.31666666666667,-67.7
943,PUERTO SANTA CRUZ,50,1,S,68,31,W,V,RN,-50.016666666666666,-68.51666666666667
944,PUERTO GALLEGOS,51,37,S,68,58,W,V,RN,-51.61666666666667,-68.96666666666667
945,SAN SEBASTIAN BAY,53,10,S,68,30,W,S,CN,-53.166666666666664,-68.5
946,RIO GRANDE,53,47,S,67,41,W,V,RN,-53.78333333333333,-67.68333333333334
947,USHUAIA,54,49,S,68,18,W,S,CN,-54.81666666666667,-68.3
948,VILLA CONSTITUCION,33,18,S,60,20,W,V,RN,-33.3,-60.333333333333336
949,STANLEY,51,42,S,57,50,W,M,CN,-51.7,-57.833333333333336
950,PRINCE OLAV HARBOR,54,2,S,37,9,W,V,CN,-54.03333333333333,-37.15
951,STROMNESS HARBOR,54,9,S,36,42,W,V,CN,-54.15,-36.7
952,GRYTVIKEN,54,16,S,36,30,W,V,CN,-54.266666666666666,-36.5
953,PUERTO WILLIAMS,54,56,S,67,36,W,V,OR,-54.93333333333333,-67.6
954,PUNTA DELGADA,52,28,S,69,33,W,V,OR,-52.46666666666667,-69.55
955,PUERTO SARA,52,38,S,70,12,W,V,CN,-52.63333333333333,-70.2
956,CALETA CLARENCIA,52,54,S,70,6,W,V,CN,-52.9,-70.1
957,RADA PUNTA ARENAS,53,10,S,70,54,W,S,OR,-53.166666666666664,-70.9
958,BAHIA AGUA FRESCA,53,23,S,70,58,W,V,CN,-53.38333333333333,-70.96666666666667
959,PORT SAN JUAN DE LA JUAN,53,38,S,70,55,W,V,CN,-53.63333333333333,-70.91666666666667
960,BAHIA HARRIS,53,51,S,70,27,W,V,CN,-53.85,-70.45
961,PUERTO YARTOU,53,53,S,70,9,W,V,CN,-53.88333333333333,-70.15
962,CALETA MINA ELENA,52,41,S,71,54,W,V,CN,-52.68333333333333,-71.9
963,PUERTO NATALES,51,43,S,72,34,W,V,OR,-51.71666666666667,-72.56666666666666
964,PUERTO CHACABUCO,45,28,S,72,50,W,V,RN,-45.46666666666667,-72.83333333333333
965,PUERTO CASTRO,42,29,S,73,46,W,V,CN,-42.483333333333334,-73.76666666666667
966,PUERTO QUEMCHI,42,9,S,73,29,W,V,CN,-42.15,-73.48333333333333
967,PUERTO MONTT,41,29,S,72,58,W,S,CN,-41.483333333333334,-72.96666666666667
968,PUERTO DE CORRAL,39,52,S,73,26,W,V,CN,-39.86666666666667,-73.43333333333334
969,BAHIA DE VALDIVIA,39,48,S,73,15,W,S,RN,-39.8,-73.25
970,LOTA,37,6,S,73,9,W,V,CN,-37.1,-73.15
971,CORONEL,37,2,S,73,10,W,S,CN,-37.03333333333333,-73.16666666666667
972,BAHIA SAN VICENTE,36,44,S,73,10,W,V,CN,-36.733333333333334,-73.16666666666667
973,TALCAHUANO,36,42,S,73,6,W,S,CN,-36.7,-73.1
974,LIRQUEN,36,43,S,72,59,W,V,CN,-36.71666666666667,-72.98333333333333
975,PENCO,36,43,S,73,0,W,V,CN,-36.71666666666667,-73.0
976,PUERTO SAN ANTONIO,33,35,S,71,37,W,S,CB,-33.583333333333336,-71.61666666666666
977,BAHIA DE VALPARAISO,33,2,S,71,37,W,M,CB,-33.03333333333333,-71.61666666666666
978,BAHIA QUINTERO (VENTANAS),32,46,S,71,32,W,V,OR,-32.766666666666666,-71.53333333333333
979,BAHIA HERRADURA GUAYACAN,29,58,S,71,22,W,V,OR,-29.966666666666665,-71.36666666666666
980,COQUIMBO,29,57,S,71,20,W,V,CN,-29.95,-71.33333333333333
981,HUASCO,28,28,S,71,15,W,V,OR,-28.466666666666665,-71.25
982,PUERTO CALDERA,27,3,S,70,50,W,V,CN,-27.05,-70.83333333333333
983,PUERTO CALDERILLA,27,5,S,70,52,W,V,CN,-27.083333333333332,-70.86666666666666
984,PUERTO CHANARAL,26,21,S,70,39,W,V,CN,-26.35,-70.65
985,TALTAL,25,24,S,70,29,W,V,CN,-25.4,-70.48333333333333
986,ANTOFAGASTA,23,39,S,70,25,W,M,CB,-23.65,-70.41666666666667
987,MEJILLONES,23,6,S,70,28,W,S,CN,-23.1,-70.46666666666667
988,CALETA PATILLOS,20,44,S,70,12,W,V,CN,-20.733333333333334,-70.2
989,TOCOPILLA,22,5,S,70,14,W,S,OR,-22.083333333333332,-70.23333333333333
990,IQUIQUE,20,12,S,70,10,W,S,CB,-20.2,-70.16666666666667
991,RADA DE ARICA,18,28,S,70,20,W,S,OR,-18.466666666666665,-70.33333333333333
992,PUERTO ILO,17,38,S,71,22,W,V,OR,-17.633333333333333,-71.36666666666666
993,BAHIA DE MATARANI,17,0,S,72,7,W,S,CB,-17.0,-72.11666666666666
994,BAHIA SAN NICOLAS,15,15,S,75,14,W,V,CB,-15.25,-75.23333333333333
995,CONCHAN OIL TERMINAL,12,10,S,77,0,W,V,OR,-12.166666666666666,-77.0
996,PUERTO DEL CALLAO,12,3,S,77,9,W,M,CB,-12.05,-77.15
997,LA PAMPILLA OIL TERMINAL,11,56,S,77,8,W,V,OR,-11.933333333333334,-77.13333333333334
998,BAHIA DE ANCON,11,45,S,77,11,W,V,OR,-11.75,-77.18333333333334
999,CHANCAY,11,35,S,77,15,W,V,OR,-11.583333333333334,-77.25
1000,PUERTO DE HUACHO,11,7,S,77,37,W,V,OR,-11.116666666666667,-77.61666666666666
1001,PUERTO SUPE,10,48,S,77,45,W,V,OR,-10.8,-77.75
1002,PUNTA LOBITOS (BAHIA DE HUARMEY),10,6,S,78,10,W,V,OR,-10.1,-78.16666666666667
1003,PUERTO DE CHIMBOTE,9,5,S,78,37,W,V,CN,-9.083333333333334,-78.61666666666666
1004,SALAVERRY,8,14,S,78,59,W,V,CB,-8.233333333333333,-78.98333333333333
1005,PIMENTAL,6,50,S,79,56,W,V,OR,-6.833333333333333,-79.93333333333334
1006,PUERTO BAYOVAR,5,50,S,81,3,W,V,OR,-5.833333333333333,-81.05
1007,PAITA,5,5,S,81,7,W,V,OR,-5.083333333333333,-81.11666666666666
1008,TALARA,4,35,S,81,17,W,S,CN,-4.583333333333333,-81.28333333333333
1009,CALETA LOBITOS,4,27,S,81,17,W,V,OR,-4.45,-81.28333333333333
1010,PUERTO CABO BLANCO,4,15,S,81,14,W,V,OR,-4.25,-81.23333333333333
1011,PUERTO BOLIVAR,3,16,S,80,0,W,V,RN,-3.2666666666666666,-80.0
1012,GUAYAQUIL,2,12,S,79,53,W,S,RN,-2.2,-79.88333333333334
1013,PUERTO MARITIMO DE GUAYAQUIL,2,17,S,79,54,W,S,RN,-2.283333333333333,-79.9
1014,LA LIBERTAD,2,13,S,80,55,W,V,OR,-2.216666666666667,-80.91666666666667
1015,MANTA,0,57,S,80,43,W,V,CB,-0.95,-80.71666666666667
1016,ESMERALDAS,1,0,N,79,39,W,V,RN,1.0,-79.65
1017,TUMACO,1,49,N,78,45,W,V,OR,1.8166666666666667,-78.75
1018,BUENAVENTURA,3,53,N,77,4,W,S,CN,3.8833333333333333,-77.06666666666666
1019,BALBOA,8,57,N,79,34,W,M,LC,8.95,-79.56666666666666
1020,VACAMONTE,8,52,N,79,40,W,V,OR,8.866666666666667,-79.66666666666667
1021,CHARCO AZUL,8,13,N,82,52,W,V,OR,8.216666666666667,-82.86666666666666
1022,PEDREGAL,8,21,N,82,26,W,S,RN,8.35,-82.43333333333334
1023,PUERTO ARMUELLES,8,16,N,82,51,W,S,OR,8.266666666666667,-82.85
1024,GOLFITO,8,38,N,83,10,W,S,CN,8.633333333333333,-83.16666666666667
1025,PUERTO QUEPOS,9,26,N,84,10,W,V,CN,9.433333333333334,-84.16666666666667
1026,PUERTO CALDERA,9,55,N,84,43,W,V,CN,9.916666666666666,-84.71666666666667
1027,PUNTARENAS,9,59,N,84,50,W,V,OR,9.983333333333333,-84.83333333333333
1028,PUERTO SANDINO,12,11,N,86,46,W,V,OR,12.183333333333334,-86.76666666666667
1029,CORINTO,12,29,N,87,10,W,S,RN,12.483333333333333,-87.16666666666667
1030,PUERTO DE HENCAN,13,24,N,87,27,W,V,RN,13.4,-87.45
1031,LA UNION,13,20,N,87,50,W,V,CN,13.333333333333334,-87.83333333333333
1032,ACAJUTLA,13,35,N,89,50,W,V,CB,13.583333333333334,-89.83333333333333
1033,ACAJUTLA OFFSHORE TERMINAL,13,35,N,89,52,W,V,OR,13.583333333333334,-89.86666666666666
1034,PUERTO QUETZAL,13,55,N,90,48,W,V,CB,13.916666666666666,-90.8
1035,PUERTO MADERO,14,42,N,92,27,W,V,RB,14.7,-92.45
1036,SALINA CRUZ,16,10,N,95,12,W,S,CB,16.166666666666668,-95.2
1037,ACAPULCO,16,51,N,99,56,W,M,CN,16.85,-99.93333333333334
1038,LAZARO CARDENAS,17,56,N,102,10,W,S,RB,17.933333333333334,-102.16666666666667
